PlayerID	PlayerTrueName	PlayerTeams	SimpleMin	SimplePossFor	SimplePossOpp	SimplePointsFor	SimplePointsOpp	SimpleOffRtg	SimpleDefRtg	SimpleOverallRtg	SimpleORebFor	SimpleORebOpp	SimpleDRebFor	SimpleDRebOpp	SimpleORebRate	SimpleDRebRate	WeightedMinOffCourt	WeightedPossForOffCourt	WeightedPossOppOffCourt	WeightedPointsForOffCourt	WeightedPointsOppOffCourt	WeightedOffRtgOffCourt	WeightedDefRtgOffCourt	WeightedOverallRtgOffCourt	WeightedORebForOffCourt	WeightedORebOppOffCourt	WeightedDRebForOffCourt	WeightedDRebOppOffCourt	WeightedORebRateOffCourt	WeightedDRebRateOffCourt	WeightedOverallRtgOnCourt	WeightedORebRateOnCourt	WeightedDRebRateOnCourt	WeightedOverallRtgOnCourtMinusOffCourt	WeightedORebRateOnCourtMinusOffCourt	WeightedDRebRateOnCourtMinusOffCourt	AdjustedPM	AdjustedPMStdErr
974	Pargo, Jeremy	MEM	269.3833	532	533	473	543	88.9098	101.876	-12.9664	130	84	194	194	0.401235	0.697842	1271.6167	2417	2416	2522	2418	104.344	100.083	4.2614	450	436	832	837	0.3497	0.6562	-12.9664	0.401235	0.697842	-17.2278	0.0515	0.0416	NULL	NULL
975	Selby, Josh	MEM	185.7500	368	372	349	372	94.837	100	-5.16304	69	62	135	123	0.359375	0.685279	1355.2500	2581	2577	2646	2589	102.518	100.466	2.0527	511	458	891	908	0.3601	0.6605	-5.16304	0.359375	0.685279	-7.2157	-0.0007	0.0248	NULL	NULL
976	Harris, Terrel	MIA	78.4333	155	157	157	162	101.29	103.185	-1.89439	21	37	55	47	0.308824	0.597826	1386.5667	2685	2691	2957	2683	110.13	99.7027	10.4276	429	475	1006	881	0.3275	0.6793	-1.89439	0.308824	0.597826	-12.322	-0.0187	-0.0815	NULL	NULL
977	Cole, Norris	MIA	635.6000	1216	1234	1318	1281	108.388	103.809	4.57941	206	258	437	400	0.339934	0.628777	829.4000	1624	1614	1796	1564	110.591	96.9021	13.689	244	254	624	528	0.3161	0.7107	4.57941	0.339934	0.628777	-9.1096	0.0238	-0.0819	-13.1663	4.556
978	Leuer, Jon	MIL	364.8833	713	704	758	724	106.311	102.841	3.47045	124	128	239	255	0.327177	0.651226	1032.1167	1993	1989	1984	2083	99.5484	104.726	-5.1776	359	380	687	759	0.3211	0.6439	3.47045	0.327177	0.651226	8.6481	0.0061	0.0073	9.07389	4.80704
979	Lee, Malcolm	MIN	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	1440.0000	2829	2832	2890	2854	102.156	100.777	1.3794	525	491	1051	1006	0.342913	0.681582	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
980	Williams, Derrick	MIN	560.3000	1111	1111	1106	1094	99.55	98.4698	1.08011	183	206	403	421	0.30298	0.661741	879.7000	1718	1721	1784	1760	103.842	102.266	1.5756	342	285	648	585	0.3689	0.6945	1.08011	0.30298	0.661741	-0.4955	-0.0659	-0.0328	-2.33011	4.42133
981	Rubio, Ricky	MIN	1038.0500	2061	2061	2116	2054	102.669	99.6604	3.00825	370	358	758	729	0.33667	0.679211	401.9500	768	771	774	800	100.781	103.761	-2.9801	155	133	293	277	0.3588	0.6878	3.00825	0.33667	0.679211	5.9883	-0.0221	-0.0086	3.11877	4.22822
982	Brooks, Marshon	NJN	389.4500	707	700	762	805	107.779	115	-7.22065	145	158	234	251	0.366162	0.596939	282.5500	514	515	510	551	99.2218	106.99	-7.7685	102	105	197	187	0.3529	0.6523	-7.22065	0.366162	0.596939	0.5478	0.0133	-0.0554	-0.0685093	5.69999
983	Horner, Dennis	NJN	14.4167	29	28	36	37	124.138	132.143	-8.00493	3	2	11	9	0.25	0.846154	657.5833	1192	1187	1236	1319	103.691	111.12	-7.4292	244	261	420	429	0.3626	0.6167	-8.00493	0.25	0.846154	-0.5757	-0.1126	0.2295	NULL	NULL
