PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
69	West, David	IND	859.3833	1642	1650	1703	1659	103.7150	100.5455	3.1695	297	322	633	608	0.3282	0.6628	537.2833	1020	1015	1012	1025	99.2157	100.9852	-1.7695	204	194	340	374	0.3529	0.6367	4.9390	-0.0247	0.0261
70	Paul, Chris	LAC	861.8500	1609	1590	1828	1662	113.6109	104.5283	9.0826	314	284	586	548	0.3643	0.6736	545.1500	1029	1047	1007	1092	97.8620	104.2980	-6.4360	234	203	377	390	0.3750	0.6500	15.5186	-0.0107	0.0236
73	Andersen, Chris	DEN	318.9667	630	647	659	661	104.6032	102.1638	2.4393	120	120	228	211	0.3625	0.6552	1141.0333	2283	2265	2423	2327	106.1323	102.7373	3.3950	361	340	818	796	0.3120	0.7064	-0.9557	0.0505	-0.0512
76	Butler, Rasual	TOR	396.0500	752	757	702	780	93.3511	103.0383	-9.6872	107	145	278	302	0.2616	0.6572	914.9500	1706	1702	1700	1772	99.6483	104.1128	-4.4645	292	322	601	621	0.3198	0.6511	-5.2227	-0.0582	0.0061
77	Martin, Kevin	HOU	934.0500	1828	1821	1888	1910	103.2823	104.8874	-1.6051	317	330	635	658	0.3251	0.6580	568.9500	1083	1084	1137	1086	104.9861	100.1845	4.8016	203	179	387	359	0.3612	0.6837	-6.4067	-0.0361	-0.0257
80	Garcia, Francisco	SAC	312.7333	621	618	573	637	92.2705	103.0744	-10.8039	118	103	212	256	0.3155	0.6730	1132.2667	2207	2216	2220	2412	100.5890	108.8448	-8.2557	460	407	747	819	0.3597	0.6473	-2.5482	-0.0442	0.0257
83	Bass, Brandon	BOS	692.9833	1265	1273	1284	1261	101.5020	99.0573	2.4446	201	243	466	444	0.3116	0.6573	655.6833	1226	1221	1217	1200	99.2659	98.2801	0.9858	178	224	443	451	0.2830	0.6642	1.4588	0.0286	-0.0069
85	Price, Ronnie	PHX	418.0167	801	818	796	833	99.3758	101.8337	-2.4580	139	140	285	287	0.3263	0.6706	1021.9833	1973	1964	2024	2091	102.5849	106.4664	-3.8815	293	339	708	741	0.2834	0.6762	1.4235	0.0429	-0.0056
86	Johnson, Joe	ATL	976.5833	1850	1843	1889	1857	102.1081	100.7596	1.3485	305	301	694	713	0.2996	0.6975	349.4167	637	650	664	645	104.2386	99.2308	5.0078	118	111	236	231	0.3381	0.6801	-3.6593	-0.0385	0.0174
88	Pachulia, Zaza	ATL	649.4000	1205	1204	1238	1237	102.7386	102.7409	-0.0023	206	185	461	450	0.3140	0.7136	676.6000	1282	1289	1315	1265	102.5741	98.1381	4.4360	217	227	469	494	0.3052	0.6739	-4.4383	0.0088	0.0397
